Artkod;Schärenpflanze;Shoreplant
Woodsia_ilvensis;0;0
Cystopteris_fragilis_ssp._Fragilis;0;0
Dryopteris_filix-mas;0;0
Dryopteris_cristata;0;0
Dryopteris_dilatata;0;0
Dryopteris_carthusiana;0;0
Thelypteris_palustris;0;0
Phegopteris_connectilis;0;0
Gymnocarpium_dryopteris;0;0
Athyrium_filix-femina;0;0
Asplenium_septentrionale;0;0
Asplenium_ruta_muraria;0;0
Asplenium_trichomanes;0;0
Pteridium_aquilinum;0;0
Polypodium_vulgare;0;0
Ophioglossum_vulgatum;0;1
Botrychium_lunaria;0;0
Botrychium_boreale;0;0
Botrychium_matricariifolium;0;0
Botrychium_lanceolatum;0;0
Equisetum_arvense;0;0
Equisetum_sylvaticum;0;0
Equisetum_pratense;0;0
Equisetum_palustre;0;0
Equisetum_fluviatile;0;0
Huperzia_selago;0;0
Lycopodiella_inundata;0;0
Lycopodium_annotinum;0;0
Lycopodium_complanatum;0;0
Diphasiastrum_complanatum;0;0
Juniperus_communis;0;0
Picea_abies;0;0
Pinus_silvestris;0;0
Typha_latifolia;0;1
Typha_angustifolia;0;1
Sparganium_natans;0;0
Sparganium_angustifolium;0;0
Sparganium_simplex;0;0
Triglochin_maritima;0;1
Triglochin_palustris;0;0
Scheuchzeria_palustris;0;0
Alisma_plantago-aquatica;0;0
Phalaris_arundinacea;74;1
Anthoxanthum_odoratum;0;0
Hierochloe_odorata_ssp._baltica;0;1
Milium_effusum;0;0
Phleum_pratense_ssp._pratense;0;0
Alopecurus_pratensis;0;0
Alopecurus_arundinaceus;0;1
Alopecurus_geniculatus;0;0
Alopecurus_aequalis;0;0
Agrostis_stolonifera;0;0
Agrostis_capillaris;0;0
Agrostis_canina;0;0
Calamagrostis_arundinacea;0;0
Calamagrostis_stricta;0;1
Calamagrostis_canescens;0;0
Calamagrostis_purpurea;0;0
Calamagrostis_epigejos;0;0
Deschampsia_bottnica;0;1
Deschampsia_caespitosa;0;0
Deschampsia_flexuosa;0;0
Avenula_pratensis;0;0
Avenula_pubescens;0;0
Arrhenatherum_elatius;108;0
Sesleria_caerulea;0;0
Phragmites_australis;0;1
Danthonia_decumbens;0;0
Molinia_coerulea;0;0
Melica_nutans;0;0
Briza_media;0;0
Dactylis_glomerata;0;0
Poa_trivialis;0;0
Poa_pratensis;0;0
Poa_angustifolia;0;0
Poa_subcaerulea;0;0
Poa_nemoralis;0;0
Poa_palustris;0;0
Poa_compressa;0;0
Poa_annua;0;0
Glyceria_fluitans;0;0
