"intercept","area","max_height","sd_height","buff5"
1,27239.86326,128,34.209,5030795
1,276771.0453,185,51.9316,4702999
1,100918.8564,156,42.9139,4315211
1,266801.6021,117,25.4499,3852862
1,281846.3289,112,29.3428,5030463
1,194923.4753,131,31.1823,4623964
1,566354.4634,164,39.6777,2736530
1,139476.542,105,23.2617,1115350
1,57773.07885,143,41.1177,6028472
1,70430.88699,105,25.1043,5990641
1,50292.84298,180,53.3782,4527742
1,37908.79311,202,57.7785,5767742
1,32023.05894,106,30.8338,6232992
1,37690.85445,74,22.1911,4109749
1,117022.533,136,36.229,4075183
1,159663.605,182,45.9236,9222724
1,109926.4191,212,55.4609,4085854
1,113591.003,171,44.456,2757368
1,561842.7805,152,27.6515,856119
1,43655.42332,140,33.1427,1646206
1,78121.04028,47,11.3256,3738231
1,88415.96651,126,31.2442,1498606
1,45693.31495,66,17.4336,2225666
1,17909.27675,147,39.7203,10210590
1,15939.14981,58,16.5769,4183929
1,27545.52612,152,44.7246,5093628
1,32753.31558,87,27.3143,5749238
1,17445.72299,129,38.8695,5262404
1,31179.62665,132,43.0057,7056736
1,15525.76212,83,24.1728,6874767
1,96032.44817,155,43.5587,8416147
1,73258.90918,130,31.1992,6618148
1,30787.56882,82,27.2349,3568642
1,214208.8003,230,52.5933,3688712
1,23710.99897,60,19.0191,8619416
1,247130.9633,185,40.6005,8131775
1,151919.3374,207,53.9493,3890118
1,171003.6241,207,44.8583,3578121
1,6469.967973,32,8.9558,6739868
1,72170.38397,133,30.2553,1905655
1,34924.19874,61,13.1175,6433787
1,79495.72901,165,44.5118,3427299
1,56835.76934,178,52.6419,4107602
1,269196.2442,269,59.7563,4499752
1,159536.6493,231,65.0876,2939415
1,173990.1832,251,50.641,4320618
1,93427.78157,182,47.8735,5347847
1,35951.70939,152,45.2463,11501587
1,711909.767,414,100.628,3513535
1,38903.25977,80,17.8437,3563290
1,41122.44585,123,36.885,7154541
1,104811.9982,136,35.0349,6175863
1,362364.7006,270,65.4398,5654572
1,125462.7212,184,44.6327,1815233
1,194535.9414,160,36.0603,13061171
1,13228.67169,81,26.7586,9825265
1,36329.13802,91,26.3756,6943472
1,7321.804057,13,2.9262,4209826
1,49881.73632,214,66.9351,6080582
1,964682.3905,288,70.4232,5073378
1,92567.93407,105,22.8337,1969131
1,31242.17107,165,48.286,1228977
1,35083.39912,104,26.5893,2298040
1,49362.06379,170,44.8489,3417015
1,83994.00983,131,31.8014,3912540
1,47297.27407,106,27.4721,441479
1,29916.55199,105,25.9955,1378079
1,29418.19021,81,20.8754,563550
1,17835.64492,79,20.414,831317
1,24904.69632,74,19.0713,3181042
1,49661.66593,108,32.4337,2870892
1,22670.77074,89,23.5018,3222651
1,52006.96235,136,38.9378,3800444
1,12893.41561,80,22.1404,2439328
1,6012.841432,58,16.1742,1579030
1,1734645.904,274,47.6938,15023628
1,170735.6227,202,46.6154,10451166
1,137299.0261,255,66.6508,7881895
1,11964.7657,78,20.9427,5376975
1,5626.029378,34,9.4714,5230802
1,18514.51874,59,15.8581,4449886
1,33027.32314,86,25.9501,4472914
1,10998.13506,82,25.3173,4387165
1,16730.87159,111,31.8921,4476185
1,19758.79748,108,30.2164,4498328
1,19226.53402,111,32.4851,1851997
1,23672.31628,57,13.785,1327906
1,18739.42859,145,41.2702,6454455
1,8093.414489,55,15.6345,5784524
1,70050.04694,106,26.4449,5656814
1,39293.25135,82,25.7312,3553869
1,90041.53093,129,35.2628,5440395
1,11191.01046,51,12.0619,5239269
1,36397.66319,81,19.0578,4740394
1,108203.988,175,46.8011,5236750
1,63289.84347,136,40.6853,6150533
1,350572.8482,298,74.1188,9777613
1,4387.721741,26,7.7494,6697445
1,2586.433619,3,0.5,6633528
1,1384.519729,3,0.4865,6959335
1,176268.2368,255,76.443,7637263
1,22049.83923,65,16.923,27346929
1,6828.36409,52,14.1922,25780958
1,51992.21096,90,22.6065,24512709
1,19739.24517,104,29.6912,15146705
1,30103.19055,106,27.2076,10970357
1,45353.12509,128,25.3911,9392992
1,31511.40305,161,41.5456,11418415
1,23590.49367,62,16.6555,7601028
1,56057.14679,134,35.1271,23980797
1,180865.3735,228,51.8208,15770585
1,52405.38873,84,23.7473,14266538
1,91007.36419,250,52.8862,22274389
1,18531.91364,104,26.4994,8546077
1,7846.598199,14,2.9988,12351154
1,28499.40909,84,23.2248,10136846
1,79588.33728,159,44.1156,11119297
1,20941.8692,104,27.3608,8194358
1,38031.19153,88,19.7464,8373339
1,39911.24824,91,25.9421,26566341
1,7747.439893,54,13.3823,24003055
1,28014.12811,113,32.1514,43469910
1,36901.84932,48,11.6272,27526443
1,46796.89282,151,36.6053,11820937
1,43192.957,63,19.2912,22454590
1,29432.44844,84,18.4665,23248152
1,109375.1574,281,78.2337,17745020
1,190742.2713,279,57.2736,18288977
1,104728.818,154,41.37,20274754
1,20235.32065,57,15.4712,14249272
1,113683.2524,203,46.397,7497797
1,168635.8136,69,16.6301,16828555
1,260869.1244,154,35.7303,22037585
