"X_manif","Y_manif"
1520426.962,6664595.005
1519722.008,6662424.629
1523113.207,6661529.937
1520147.4,6659956.039
1518455.727,6664214.854
1517614.689,6664639.7
1514178.915,6662722.094
1513591.717,6659258.819
1514958.016,6650858.729
1514958.094,6649755.573
1525545.823,6661249.979
1526242.134,6661313.387
1525780.831,6661973.465
1523692.245,6659576.746
1524108.244,6659414.031
1530899.522,6660834.783
1534797.609,6658782.406
1537194.219,6658900.277
1525999.384,6644140.52
1528712.285,6646292.843
1536923.66,6636507.626
1539320.298,6636625.057
1538569.616,6636055.334
1531423.92,6661684.953
1513738.52,6653846.19
1524225.332,6662533.886
1532491.73,6656566.431
1533857.392,6655888.303
1531107.689,6659650.113
1531424.235,6659478.329
1530257.529,6660174.518
1529552.428,6658004.005
1538840.285,6658448.278
1539908.825,6658001.902
1543444.397,6651945.907
1531062.403,6660147.5
1531777.596,6653392.073
1532076.237,6635766.336
1536869.412,6650344.702
1533179.767,6642386.139
1531560.079,6657986.163
1548780.367,6656143.02
1547839.776,6655455.531
1549195.644,6662601.078
1553347.791,6658866.036
1554035.073,6660132.442
1554894.31,6660611.948
1540351.394,6649558.051
1548925.129,6655654.614
1532654.963,6634916.214
1540803.271,6654514.284
1541531.823,6655072.589
1545234.579,6658729.417
1558866.012,6652245.326
1541590.464,6649169.207
1542133.032,6650923.819
1542177.968,6654839.998
1551530.783,6654760.637
1543299.383,6655744.535
1520580.987,6662904.037
1527653.982,6651311.783
1529761.35,6643579.876
1532808.938,6639844.912
1530647.33,6634934.436
1534011.364,6633234.017
1533142.25,6625131.135
1540000.582,6634248.388
1538261.661,6630610.937
1535665.963,6629372.23
1537131.324,6632012.844
1537845.874,6632980.467
1537619.802,6633260.846
1536371.8,6633749.314
1533577.685,6642422.31
1526053.58,6646853.436
1544059.647,6646284.149
1546519.753,6645705.338
1547966.788,6649648.837
1526938.91,6658066.983
1526269.62,6658808.437
1525419.496,6659332.823
1525505.654,6659079.429
1528069.711,6654458.861
1528259.608,6654576.442
1528417.874,6654490.546
1526514.515,6651709.601
1525904.176,6650701.253
1532816.93,6659605.126
1527400.057,6658510.159
1527110.691,6658383.517
1524080.723,6657994.735
1527843.367,6656945.732
1527544.944,6656918.568
1527974.653,6655503.348
1528331.811,6655987.2
1527987.987,6657560.691
1530420.089,6661693.843
1531406.924,6659303.461
1531467.785,6659217.24
1531813.089,6659614.034
1532283.309,6659957.754
1533281.071,6685325.609
1532439.852,6685750.378
1531716.271,6685985.263
